Date,Open,High,Low,Close,Adj Close,Volume
2014-08-18,7.266250,7.312500,7.218750,7.300000,4.833714,8122400
2014-08-19,7.297500,7.300000,7.247500,7.263750,4.809710,10052800
2014-08-20,7.305000,7.360000,7.278750,7.310000,4.840334,6472000
2014-08-21,7.300000,7.322500,7.250000,7.296250,4.831230,4504800
2014-08-22,7.382500,7.440000,7.361250,7.373750,4.882548,9979200
2014-08-25,7.432500,7.455000,7.395000,7.412500,4.908205,7740800
2014-08-26,7.438750,7.450000,7.387500,7.430000,4.919792,5948000
2014-08-27,7.460000,7.483750,7.433750,7.445000,4.929725,8616000
2014-08-28,7.392500,7.416250,7.340000,7.407500,4.904894,6011200
2014-08-29,7.430000,7.442500,7.400000,7.437500,4.924759,4992800
2014-09-02,7.432500,7.458750,7.411250,7.431250,4.920621,5344800
2014-09-03,7.642500,7.680000,7.558750,7.652500,5.067122,16922400
2014-09-04,7.662500,7.678750,7.626250,7.638750,5.058017,10976800
2014-09-05,7.651250,7.705000,7.637500,7.701250,5.099402,8839200
2014-09-08,7.758750,7.770000,7.693750,7.718750,5.110989,10463200
2014-09-09,7.662500,7.670000,7.516250,7.536250,4.990147,16181600
2014-09-10,7.497500,7.573750,7.493750,7.556250,5.003390,10095200
2014-09-11,7.543750,7.548750,7.486250,7.513750,4.975248,7954400
2014-09-12,7.500000,7.522500,7.425000,7.453750,4.935519,9525600
2014-09-15,7.437500,7.467500,7.376250,7.381250,4.887513,7170400
2014-09-16,7.413750,7.495000,7.397500,7.465000,4.942969,12452800
2014-09-17,7.636250,7.651250,7.363750,7.402500,4.901584,29980000
2014-09-18,7.500000,7.513750,7.388750,7.432500,4.921449,27912000
2014-09-19,7.496250,7.511250,7.427500,7.440000,4.926415,18280800
2014-09-22,7.421250,7.437500,7.343750,7.362500,4.875098,13998400
2014-09-23,7.327500,7.380000,7.306250,7.358750,4.872615,10791200
2014-09-24,7.363750,7.460000,7.358750,7.457500,4.938002,9965600
2014-09-25,7.428750,7.478750,7.360000,7.372500,4.881719,17225600
2014-09-26,7.455000,7.522500,7.431250,7.510000,4.972765,11916000
2014-09-29,7.508750,7.578750,7.501250,7.565000,5.009184,12071200
2014-09-30,7.541250,7.588750,7.521250,7.561250,5.006701,11716800
2014-10-01,7.690000,7.703750,7.515000,7.522500,4.981042,21757600
2014-10-02,7.493750,7.507500,7.425000,7.452500,4.934691,11476800
2014-10-03,7.493750,7.528750,7.472500,7.507500,4.971110,10890400
2014-10-06,7.553750,7.641250,7.532500,7.623750,5.048085,8992000
2014-10-07,7.731250,7.806250,7.511250,7.531250,4.986836,32560800
2014-10-08,7.383750,7.563750,7.383750,7.546250,4.996768,18364800
2014-10-09,7.483750,7.515000,7.388750,7.426250,4.917310,19873600
