Date,Open,High,Low,Close,Adj Close,Volume
2001-12-31,4.845000,4.940000,4.755000,4.762500,4.062701,9476800
2002-01-02,4.777500,4.895000,4.750000,4.877500,4.160802,11298400
2002-01-03,4.897500,5.125000,4.895000,5.105000,4.354875,25148400
2002-01-04,5.427500,5.625000,5.425000,5.527500,4.715292,62756400
2002-01-07,5.520000,5.622500,5.437500,5.460000,4.657710,23204000
2002-01-08,5.470000,5.702500,5.462500,5.672500,4.838986,21871600
2002-01-09,5.712500,5.742500,5.457500,5.467500,4.664108,18543600
2002-01-10,5.480000,5.625000,5.425000,5.617500,4.792066,17722000
2002-01-11,5.612500,5.640000,5.452500,5.470000,4.666241,20484800
2002-01-14,5.470000,5.505000,5.390000,5.475000,4.670506,18553600
2002-01-15,5.455000,5.502500,5.427500,5.477500,4.672639,14385600
2002-01-16,5.485000,5.510000,5.300000,5.312500,4.531884,11719600
2002-01-17,5.295000,5.502500,5.295000,5.502500,4.693965,14024800
2002-01-18,5.520000,5.562500,5.402500,5.477500,4.672639,13901600
2002-01-22,5.485000,5.525000,5.342500,5.345000,4.559607,9051600
2002-01-23,5.415000,5.712500,5.345000,5.660000,4.828322,21312400
2002-01-24,5.755000,5.832500,5.560000,5.785000,4.934955,27716800
2002-01-25,5.850000,5.850000,5.632500,5.712500,4.873109,20340400
2002-01-28,5.717500,5.777500,5.587500,5.720000,4.879505,9624000
2002-01-29,5.687500,5.730000,5.500000,5.580000,4.760079,13134000
2002-01-30,5.552500,5.720000,5.525000,5.690000,4.853914,16829600
2002-01-31,5.720000,5.970000,5.707500,5.942500,5.069313,29612000
2002-02-01,5.962500,5.962500,5.625000,5.717500,4.877374,19589600
2002-02-04,5.705000,5.757500,5.530000,5.572500,4.753680,13523200
2002-02-05,5.580000,5.732500,5.510000,5.592500,4.770741,13014400
2002-02-06,5.627500,5.662500,5.390000,5.445000,4.644914,13810000
2002-02-07,5.477500,5.592500,5.380000,5.415000,4.619322,14914000
2002-02-08,5.425000,5.500000,5.312500,5.495000,4.687568,11180800
2002-02-11,5.497500,5.562500,5.422500,5.450000,4.649178,11877600
2002-02-12,5.442500,5.485000,5.375000,5.382500,4.591598,6969600
2002-02-13,5.407500,5.512500,5.375000,5.500000,4.691832,6659600
2002-02-14,5.487500,5.572500,5.395000,5.435000,4.636384,8359200
2002-02-15,5.465000,5.507500,5.377500,5.390000,4.597996,6078000
2002-02-19,5.337500,5.470000,5.292500,5.337500,4.553211,7352800
2002-02-20,5.345000,5.437500,5.310000,5.407500,4.612925,7732400
2002-02-21,5.377500,5.485000,5.255000,5.275000,4.499895,10444800
2002-02-22,5.252500,5.477500,5.205000,5.402500,4.608659,10674000
2002-02-25,5.385000,5.560000,5.382500,5.537500,4.723822,11096800
2002-02-26,5.612500,5.662500,5.385000,5.577500,4.757946,13205600
2002-02-27,5.617500,5.705000,5.565000,5.610000,4.785671,14112400
2002-02-28,5.705000,5.900000,5.677500,5.752500,4.907231,22622800
2002-03-01,5.890000,5.940000,5.712500,5.875000,5.011732,21678400
2002-03-04,5.910000,6.032500,5.800000,6.017500,5.133291,23330400
2002-03-05,5.992500,6.072500,5.810000,5.867500,5.005331,15773200
2002-03-06,5.895000,5.897500,5.730000,5.785000,4.934955,16816800
2002-03-07,5.802500,5.850000,5.737500,5.780000,4.930691,10128000
2002-03-08,5.787500,5.820000,5.650000,5.740000,4.896567,17586400
2002-03-11,5.750000,5.870000,5.687500,5.712500,4.873109,13410000
2002-03-12,5.675000,5.737500,5.587500,5.725000,4.883772,11203600
2002-03-13,5.665000,5.827500,5.625000,5.665000,4.832587,10560800
2002-03-14,5.697500,5.882500,5.695000,5.835000,4.977607,13051600
2002-03-15,5.962500,5.990000,5.862500,5.937500,5.065047,13027200
2002-03-18,5.962500,6.000000,5.872500,5.935000,5.062914,12272800
2002-03-19,5.917500,6.007500,5.915000,5.965000,5.088507,8506000
2002-03-20,5.937500,6.132500,5.890000,5.920000,5.050118,14892000
2002-03-21,5.932500,6.000000,5.795000,5.995000,5.114098,8948400
2002-03-22,5.927500,5.980000,5.865000,5.895000,5.028791,8623600
2002-03-25,5.890000,5.955000,5.762500,5.800000,4.947752,12520000
2002-03-26,5.760000,5.935000,5.715000,5.872500,5.009598,10365600
2002-03-27,5.810000,5.922500,5.757500,5.867500,5.005331,8839600
2002-03-28,5.875000,5.885000,5.762500,5.782500,4.932822,8424000
2002-04-01,5.767500,5.832500,5.702500,5.825000,4.969078,8368800
2002-04-02,5.797500,5.880000,5.777500,5.820000,4.964813,10630800
2002-04-03,5.827500,5.935000,5.812500,5.872500,5.009598,8858400
2002-04-04,5.815000,5.990000,5.815000,5.970000,5.092770,12196800
2002-04-05,6.065000,6.132500,5.995000,6.010000,5.126894,12089600
