,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2
"Exports of goods (table 1.1, line 3)",404114,410882,412816,407751,384234,385715,376958,364474,353872,360934,370377,372210,381680,381677,387127,403106,410732,427088,419545,416964,419100,414554
    General merchandise,397473,406929,407701,400508,378672,380878,370852,359392,349582,356831,364513,365626,375453,375941,382140,398301,404218,421770,413442,412683,414383,410315
    Net exports of goods under merchanting,75,64,103,56,81,41,74,65,50,77,86,87,51,47,47,65,65,69,68,68,92,73
    Nonmonetary gold,6566,3889,5012,7187,5481,4796,6032,5017,4240,4026,5779,6497,6176,5689,4940,4740,6450,5249,6034,4214,4625,4165
"  General merchandise, all end-use commodities (line 2)",397473,406929,407701,400508,378672,380878,370852,359392,349582,356831,364513,365626,375453,375941,382140,398301,404218,421770,413442,412683,414383,410315
"    Foods, feeds, and beverages",37755,36630,33573,35763,33717,32672,30927,30405,29741,30477,36672,33625,33153,33053,33682,32848,32087,37273,33829,29988,32737,35206
      Agricultural,35675,34441,31493,33666,31652,30618,28843,28378,27731,28487,34654,31657,31226,30957,31502,30511,29872,35012,31654,28031,30666,33257
        Grains and preparations,8194,9336,7988,7267,7558,7295,7322,6133,5992,7058,7994,6867,7578,7222,6585,6174,7044,8305,7709,7820,6855,7042
          Wheat,2041,2269,1889,1709,1630,1394,1438,1330,1197,1278,1492,1570,1547,1815,1487,1371,1332,1249,1290,1715,1629,1715
          Corn,2786,3823,3081,2247,2436,2692,2581,1674,2020,2927,3416,2510,3059,2790,2323,1973,2587,4053,3602,3283,2570,2445
          Rice and other food grains,559,544,430,596,502,505,573,551,454,487,479,496,502,441,399,492,504,389,372,548,456,509
          Other feeds,2808,2699,2588,2714,2990,2704,2730,2577,2320,2367,2608,2291,2470,2177,2377,2338,2620,2613,2445,2273,2199,2374
        Soybeans,8176,5464,4153,7331,5528,4745,4188,5299,4708,3829,8684,6396,5304,5559,6319,5047,3507,7591,5419,1635,4539,7089
        Meat products and poultry,4882,5056,5165,4967,4552,4380,3881,3813,3878,4158,4325,4523,4539,4542,4750,5006,5126,5055,4910,4814,4801,5053
"        Vegetables, fruits, nuts, and preparations",6171,6379,6363,6282,6386,6596,6184,5752,5927,6230,6228,6107,6097,6133,6408,6500,6538,6189,5997,6082,6519,6261
"        Other agricultural foods, feeds, and beverages",8253,8206,7824,7820,7627,7603,7269,7381,7227,7213,7423,7764,7708,7501,7440,7785,7658,7873,7621,7680,7953,7812
      Nonagricultural,2079,2190,2081,2097,2065,2054,2084,2027,2009,1990,2018,1968,1927,2096,2180,2337,2214,2260,2174,1957,2070,1949
        Fish and shellfish,1474,1568,1442,1494,1461,1435,1481,1398,1429,1411,1413,1388,1307,1482,1532,1620,1510,1513,1492,1317,1441,1346
"        Distilled beverages and other nonagricultural foods, feeds, and beverages",605,622,639,603,604,619,602,628,580,580,605,581,620,614,648,717,705,747,682,640,629,603
