Date,Open,High,Low,Close,Adj Close,Volume
2014-08-18,50.470001,50.730000,50.400002,50.689999,43.563782,9913700
2014-08-19,50.770000,51.090000,50.750000,50.860001,43.709877,8718400
2014-08-20,50.790001,50.939999,50.639999,50.849998,43.701286,8402900
2014-08-21,51.000000,51.400002,50.900002,51.290001,44.079426,10102200
2014-08-22,51.340000,51.590000,51.130001,51.180000,43.984890,9210400
2014-08-25,51.480000,51.750000,51.410000,51.450001,44.216927,8665600
2014-08-26,51.570000,51.689999,51.470001,51.560001,44.311466,7025200
2014-08-27,51.650002,51.700001,51.270000,51.340000,44.122391,8315800
2014-08-28,51.209999,51.279999,51.000000,51.150002,43.959106,7718000
2014-08-29,51.270000,51.470001,51.180000,51.439999,44.208332,8860700
2014-09-02,51.709999,51.709999,51.240002,51.570000,44.320057,9990300
2014-09-03,51.750000,52.029999,51.400002,51.549999,44.302872,7735500
2014-09-04,51.490002,51.919998,51.400002,51.570000,44.320057,8306200
2014-09-05,51.380001,51.650002,51.160000,51.650002,44.388821,12102500
2014-09-08,51.480000,51.730000,51.340000,51.470001,44.234127,7746900
2014-09-09,51.230000,51.360001,51.000000,51.070000,43.890350,10745000
2014-09-10,51.080002,51.619999,51.060001,51.520000,44.277081,11381400
2014-09-11,51.400002,51.730000,51.320000,51.590000,44.337246,8981900
2014-09-12,51.669998,52.029999,51.520000,51.700001,44.431786,12523700
2014-09-15,51.730000,52.160000,51.660000,51.939999,44.638046,10414800
2014-09-16,51.779999,52.480000,51.779999,52.310001,44.956024,10524600
2014-09-17,52.389999,52.849998,52.169998,52.509998,45.127907,16919100
2014-09-18,52.630001,53.380001,52.630001,53.240002,45.755287,16388300
2014-09-19,53.599998,53.799999,53.220001,53.360001,45.858410,22553800
2014-09-22,53.259998,53.500000,52.820000,52.900002,45.463078,13445700
2014-09-23,52.849998,53.040001,52.090000,52.099998,44.775543,20596500
2014-09-24,52.220001,52.290001,51.880001,52.130001,44.801334,18245200
2014-09-25,52.099998,52.169998,51.410000,51.410000,44.182556,16684900
2014-09-26,51.450001,51.919998,51.349998,51.869999,44.577881,10753400
2014-09-29,51.669998,51.919998,51.380001,51.689999,44.423180,9995300
2014-09-30,51.799999,52.180000,51.709999,51.869999,44.577881,16669900
2014-10-01,51.840000,51.959999,51.200001,51.259998,44.053642,16527000
2014-10-02,51.189999,51.509998,50.889999,51.400002,44.173954,15434400
2014-10-03,51.779999,52.200001,51.580002,52.099998,44.775543,14018800
2014-10-06,52.259998,52.459999,51.990002,52.029999,44.715382,10872300
2014-10-07,51.840000,51.840000,51.060001,51.080002,43.898949,11889700
2014-10-08,51.250000,52.189999,51.090000,52.150002,44.818512,15267200
2014-10-09,52.060001,52.209999,51.029999,51.119999,43.933319,18735700
2014-10-10,51.009998,51.740002,50.610001,50.639999,43.520798,20211500
2014-10-13,50.610001,50.980000,50.150002,50.200001,43.142654,19298900
2014-10-14,49.500000,49.860001,48.209999,48.830002,41.965263,45851500
2014-10-15,48.130001,48.520000,46.439999,47.849998,41.123035,38470600
2014-10-16,47.180000,48.680000,47.049999,48.130001,41.363667,28973400
2014-10-17,48.490002,49.029999,48.410000,48.689999,41.844933,28314000
2014-10-20,48.680000,49.240002,48.610001,49.180000,42.266060,15018500
2014-10-21,49.630001,50.580002,49.570000,50.450001,43.357513,17660200
2014-10-22,50.520000,50.689999,50.139999,50.169998,43.116879,20078200
2014-10-23,50.759998,50.980000,50.490002,50.599998,43.486420,14394500
2014-10-24,50.580002,51.250000,50.549999,51.200001,44.002083,10888600
2014-10-27,51.310001,51.360001,51.009998,51.310001,44.096615,11654500
2014-10-28,51.560001,51.790001,51.299999,51.779999,44.500534,13267200
2014-10-29,51.840000,52.270000,51.680000,52.169998,44.835705,16546900
2014-10-30,52.009998,52.619999,51.919998,52.459999,45.084942,14107600
2014-10-31,53.040001,53.169998,52.779999,53.090000,45.626369,21126300
2014-11-03,53.220001,53.599998,53.090000,53.369999,45.867001,14349500
2014-11-04,53.380001,53.490002,52.910000,53.270000,45.781063,14931500
2014-11-05,53.430000,53.549999,53.130001,53.529999,46.308773,14496900
2014-11-06,53.549999,54.119999,53.480000,54.060001,46.767277,15328100
2014-11-07,54.200001,54.250000,53.639999,53.840000,46.576958,13312700
2014-11-10,53.680000,53.990002,53.619999,53.830002,46.568314,11837300
2014-11-11,53.880001,54.099998,53.529999,53.580002,46.352032,12520500
2014-11-12,53.299999,53.669998,53.209999,53.540001,46.317425,10687900
2014-11-13,53.570000,53.669998,53.119999,53.389999,46.187664,13494400
2014-11-14,53.389999,53.689999,53.230000,53.349998,46.153057,9488400
2014-11-17,53.099998,53.490002,52.869999,53.439999,46.230911,9657900
2014-11-18,53.099998,53.500000,53.029999,53.270000,46.083851,12580400
2014-11-19,53.259998,53.410000,52.919998,53.360001,46.161697,12490600
2014-11-20,53.160000,53.560001,53.080002,53.480000,46.265522,10245900
2014-11-21,54.000000,54.090000,53.700001,53.810001,46.550999,14587500
2014-11-24,54.060001,54.360001,53.930000,54.099998,46.801880,11028000
2014-11-25,54.230000,54.279999,53.799999,53.880001,46.611561,14390400
2014-11-26,54.189999,54.419998,53.970001,54.279999,46.957596,11792500
2014-11-28,54.320000,54.740002,54.270000,54.480000,47.130608,11054300
2014-12-01,54.419998,54.590000,53.700001,53.820000,46.559654,13858500
2014-12-02,53.750000,54.439999,53.750000,54.220001,46.905693,12925300
2014-12-03,54.169998,54.610001,54.099998,54.389999,47.052757,14781300
2014-12-04,54.320000,54.639999,54.169998,54.500000,47.147919,12310000
2014-12-05,54.889999,55.349998,54.849998,55.029999,47.606422,14261400
2014-12-08,54.950001,55.150002,54.590000,54.770000,47.381500,18939300
2014-12-09,54.290001,54.900002,54.049999,54.830002,47.433403,12895800
2014-12-10,54.730000,55.090000,54.209999,54.259998,46.940300,23309500
2014-12-11,54.590000,55.180000,54.369999,54.430000,47.087360,17007700
2014-12-12,53.869999,54.610001,53.660000,53.700001,46.455841,18792900
2014-12-15,54.009998,54.410000,53.160000,53.189999,46.014645,24852800
2014-12-16,52.820000,53.770000,52.730000,52.770000,45.651306,24243300
2014-12-17,53.040001,53.849998,52.939999,53.790001,46.533707,19782600
2014-12-18,54.430000,55.209999,54.360001,55.209999,47.762142,21404700
2014-12-19,54.900002,55.419998,54.450001,54.450001,47.104668,36186100
2014-12-22,54.459999,54.970001,54.340000,54.970001,47.554523,17395500
2014-12-23,55.080002,55.639999,55.060001,55.470001,47.987068,13205700
2014-12-24,55.630001,55.740002,55.320000,55.340000,47.874599,4297000
2014-12-26,55.410000,55.540001,55.259998,55.279999,47.822693,5826000
2014-12-29,55.080002,55.950001,55.080002,55.709999,48.194698,11385600
2014-12-30,55.520000,55.750000,55.400002,55.419998,47.943825,8749400
2014-12-31,55.500000,55.669998,54.820000,54.820000,47.424751,10090800
2015-01-02,55.110001,55.189999,54.189999,54.700001,47.320946,11700900
2015-01-05,54.139999,54.360001,53.099998,53.200001,46.023293,15000500
2015-01-06,53.349998,53.470001,51.849998,52.090000,45.063030,20211200
2015-01-07,52.630001,52.639999,52.110001,52.400002,45.331207,15714700
2015-01-08,53.000000,53.590000,52.959999,53.560001,46.334732,16721600
2015-01-09,53.540001,53.590000,52.669998,52.680000,45.573441,14550800
2015-01-12,52.580002,52.689999,51.709999,52.049999,45.028423,16967500
2015-01-13,52.299999,52.529999,51.250000,51.849998,44.855400,25080900
2015-01-14,51.000000,51.730000,50.419998,51.250000,44.336361,37590100
2015-01-15,51.209999,51.540001,50.459999,50.720001,43.877838,32144700
2015-01-16,50.529999,51.700001,50.509998,51.639999,44.673740,23174900
2015-01-20,51.980000,52.299999,51.700001,52.000000,44.985180,17691000
2015-01-21,51.990002,52.700001,51.709999,52.099998,45.071678,17928300
2015-01-22,52.490002,53.820000,52.480000,53.770000,46.516388,21488700
2015-01-23,53.730000,53.980000,53.240002,53.259998,46.075195,17779700
2015-01-26,52.910000,53.599998,52.889999,53.580002,46.352032,13429400
2015-01-27,52.930000,53.340000,52.570000,52.970001,45.824314,14351600
2015-01-28,53.310001,53.360001,52.150002,52.160000,45.123596,18775100
2015-01-29,52.240002,52.900002,51.900002,52.759998,45.642643,16700000
2015-01-30,52.200001,52.770000,51.900002,51.919998,44.915955,21754800
2015-02-02,52.189999,52.910000,51.990002,52.810001,45.685905,17714500
2015-02-03,53.009998,53.529999,52.970001,53.450001,46.239563,20258900
2015-02-04,53.029999,53.500000,52.900002,53.029999,46.178616,14435600
2015-02-05,53.240002,53.840000,53.220001,53.669998,46.735920,13281900
2015-02-06,54.119999,55.080002,53.830002,54.450001,47.415146,19317000
2015-02-09,54.270000,54.450001,54.080002,54.209999,47.206158,9739200
2015-02-10,54.619999,54.709999,54.220001,54.570000,47.519642,12342500
2015-02-11,54.060001,54.259998,53.660000,53.900002,46.936211,18296800
2015-02-12,54.189999,54.900002,53.970001,54.860001,47.772182,20159500
2015-02-13,54.980000,55.560001,54.810001,55.330002,48.181458,18809000
2015-02-17,55.310001,55.459999,54.950001,55.369999,48.216282,11908600
2015-02-18,55.090000,55.200001,54.400002,54.520000,47.476105,13231600
2015-02-19,54.410000,54.820000,54.130001,54.560001,47.510937,10784600
2015-02-20,54.410000,54.939999,54.029999,54.830002,47.746059,15049100
2015-02-23,54.680000,55.110001,54.270000,55.099998,47.981174,13715000
2015-02-24,55.189999,55.540001,55.020000,55.369999,48.216282,11957800
2015-02-25,55.389999,55.580002,55.240002,55.330002,48.181458,10516900
2015-02-26,55.220001,55.349998,54.959999,55.150002,48.024712,13579100
2015-02-27,54.820000,55.279999,54.790001,54.790001,47.711224,12937000
2015-03-02,54.790001,55.560001,54.720001,55.549999,48.373032,12988500
2015-03-03,55.450001,55.580002,55.139999,55.450001,48.285954,11759600
2015-03-04,55.169998,55.200001,54.669998,54.820000,47.737347,16653300
2015-03-05,54.939999,55.009998,54.650002,54.840000,47.754757,9576100
2015-03-06,54.980000,55.490002,54.509998,54.590000,47.537056,17298400
2015-03-09,54.779999,55.009998,54.630001,54.669998,47.606720,11937900
2015-03-10,54.160000,54.169998,53.290001,53.290001,46.405014,18723200
2015-03-11,53.869999,53.990002,53.599998,53.700001,46.762047,16612900
2015-03-12,54.520000,55.639999,54.200001,55.590000,48.407860,26266900
2015-03-13,55.490002,55.650002,55.020000,55.340000,48.190151,17591400
2015-03-16,55.500000,55.820000,55.330002,55.730000,48.529770,15505200
2015-03-17,55.500000,55.980000,55.259998,55.910000,48.686516,13107700
2015-03-18,55.680000,56.279999,55.490002,56.169998,48.912937,20000500
