LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-07,100.6207,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-08,100.7512,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-09,100.7665,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-10,100.7843,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-11,100.6919,
USA,BCI,AMPLITUD,LTRENDIDX,M,2014-12,100.4419,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-01,100.187,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-02,99.98552,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-03,99.84737,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-04,99.80987,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-05,99.86666,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-06,99.85879,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-07,99.73175,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-08,99.54333,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-09,99.33962,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-10,99.15508,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-11,99.00701,
USA,BCI,AMPLITUD,LTRENDIDX,M,2015-12,98.95463,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-01,99.03783,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-02,99.24594,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-03,99.47628,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-04,99.59814,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-05,99.7036,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-06,99.7765,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-07,99.69157,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-08,99.53907,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-09,99.58414,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-10,99.74983,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-11,100.0114,
USA,BCI,AMPLITUD,LTRENDIDX,M,2016-12,100.3142,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-01,100.5844,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-02,100.7397,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-03,100.6914,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-04,100.5446,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-05,100.542,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-06,100.7085,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-07,100.8747,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-08,101.1174,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-09,101.2791,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-10,101.2488,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-11,101.2184,
USA,BCI,AMPLITUD,LTRENDIDX,M,2017-12,101.2737,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-01,101.3207,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-02,101.3432,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-03,101.2312,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-04,101.1134,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-05,101.1557,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-06,101.2603,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-07,101.3166,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-08,101.4102,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-09,101.3276,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-10,101.1317,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-11,100.9309,
USA,BCI,AMPLITUD,LTRENDIDX,M,2018-12,100.6356,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-01,100.4933,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-02,100.3383,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-03,100.2148,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-04,100.0092,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-05,99.82457,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-06,99.80083,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-07,99.63015,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-08,99.47853,
USA,BCI,AMPLITUD,LTRENDIDX,M,2019-09,99.28525,
