DATE,DEXCHUS
2014-08-18,6.1425
2014-08-19,6.1425
2014-08-20,6.1395
2014-08-21,6.1510
2014-08-22,6.1510
2014-08-25,6.1540
2014-08-26,6.1522
2014-08-27,6.1430
2014-08-28,6.1423
2014-08-29,6.1430
2014-09-01,.
2014-09-02,6.1480
2014-09-03,6.1408
2014-09-04,6.1383
2014-09-05,6.1400
2014-09-08,6.1400
2014-09-09,6.1362
2014-09-10,6.1284
2014-09-11,6.1295
2014-09-12,6.1344
2014-09-15,6.1415
2014-09-16,6.1459
2014-09-17,6.1385
2014-09-18,6.1400
2014-09-19,6.1403
2014-09-22,6.1400
2014-09-23,6.1368
2014-09-24,6.1346
2014-09-25,6.1355
2014-09-26,6.1266
2014-09-29,6.1495
2014-09-30,6.1380
2014-10-01,6.1380
2014-10-02,6.1380
2014-10-03,6.1385
2014-10-06,6.1385
2014-10-07,6.1385
2014-10-08,6.1385
2014-10-09,6.1299
2014-10-10,6.1308
2014-10-13,.
2014-10-14,6.1250
2014-10-15,6.1249
2014-10-16,6.1230
2014-10-17,6.1238
2014-10-20,6.1233
2014-10-21,6.1205
2014-10-22,6.1180
2014-10-23,6.1190
2014-10-24,6.1168
2014-10-27,6.1160
2014-10-28,6.1130
2014-10-29,6.1107
2014-10-30,6.1140
2014-10-31,6.1124
2014-11-03,6.1178
2014-11-04,6.1150
2014-11-05,6.1135
2014-11-06,6.1117
2014-11-07,6.1225
2014-11-10,6.1190
2014-11-11,.
2014-11-12,6.1257
2014-11-13,6.1243
2014-11-14,6.1290
2014-11-17,6.1242
2014-11-18,6.1208
2014-11-19,6.1190
2014-11-20,6.1230
2014-11-21,6.1244
2014-11-24,6.1412
2014-11-25,6.1355
2014-11-26,6.1386
2014-11-27,.
2014-11-28,6.1429
2014-12-01,6.1515
2014-12-02,6.1490
2014-12-03,6.1499
2014-12-04,6.1541
2014-12-05,6.1497
2014-12-08,6.1725
2014-12-09,6.1855
2014-12-10,6.1763
2014-12-11,6.1881
2014-12-12,6.1864
2014-12-15,6.1900
2014-12-16,6.1890
2014-12-17,6.1957
2014-12-18,6.2139
2014-12-19,6.2196
2014-12-22,6.2213
2014-12-23,6.2256
2014-12-24,6.2148
2014-12-25,.
2014-12-26,.
2014-12-29,6.2222
